# Dense fuzzy physics-membership μ — MiniLM cosine to the 'Physics' anchor (NO training).
# model: sentence-transformers/all-MiniLM-L6-v2; clamp: to_membership (cosine∈[-1,1] → μ∈[0,1]); names verbatim from the category graph.
# Provenance: gen_dense_mu.py over data/benchmark/10k/category_parent.tsv. A raw pretrained-embedding prior (coarse semantic proximity), NOT the trained cosine-μ
# encoder and NOT authoritative — its job is DENSITY (a μ for every node) so the gated cone / IC / Lin machinery stops pruning through unscored connectors.
# Format: name<TAB>μ, μ∈[0,1]. '#' lines are comments.
1810s_establishments_in_North_America	0.0014
1810s_in_North_America	0.0342
19th-century_establishments_in_North_America	0.0000
1810s_in_the_United_States	0.0423
Establishments_in_the_United_States_by_decade	0.0010
19th-century_establishments_in_the_United_States	0.0170
Navseasoncats_decade_redirected	0.0267
19th_century_in_North_America	0.0370
Decades_in_North_America	0.0839
19th_century_in_the_United_States	0.0704
Decades_in_the_United_States	0.1141
1811_in_the_United_States	0.0593
1811_in_North_America	0.0436
Template_Year_in_country_category_with_prefix_available_though_CountryPrefixThe	0.0000
Years_of_the_19th_century_in_the_United_States	0.0627
1811_by_country	0.0856
1820s	0.0863
1820s_by_continent	0.0222
1820s_by_country	0.0095
1820s_disestablishments	0.0000
19th-century_disestablishments	0.0614
Disestablishments_by_decade	0.0625
1820s_disestablishments_by_continent	0.0000
19th-century_disestablishments_by_continent	0.0415
Disestablishments_by_decade_and_continent	0.0857
1820s_disestablishments_in_North_America	0.0000
1820s_in_North_America	0.0000
19th-century_disestablishments_in_North_America	0.0239
Disestablishments_in_North_America_by_decade	0.0496
1820s_establishments	0.0098
1820s_establishments_by_continent	0.0000
1820s_establishments_by_country	0.0000
1820s_establishments_in_Florida_Territory	0.0000
1820s_establishments_in_the_United_States	0.0000
19th-century_establishments_in_Florida	0.0000
Establishments_in_Florida_by_decade	0.0000
1820s_establishments_in_Mexico	0.0000
1820s_establishments_in_North_America	0.0000
19th-century_establishments_in_Mexico	0.0000
Establishments_in_Mexico_by_decade	0.0000
1820s_in_the_United_States	0.0136
1823	0.1457
Years_of_the_19th_century	0.1013
1823_establishments	0.0320
1823_establishments_by_country	0.0000
Establishments_by_year_and_country	0.0000
1823_by_country	0.0891
1823_establishments_in_Mexico	0.0000
1823_establishments_in_North_America	0.0000
Navseasoncats_using_unknown_parameter	0.0477
Establishments_in_Mexico_by_year	0.0000
Establishments_in_North_America_by_year	0.0000
1827	0.1576
1827_establishments	0.0656
1827_establishments_by_country	0.0252
1827_by_country	0.0884
1827_establishments_in_Florida_Territory	0.0000
